Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-04-19 00:00:00.000000 UTC,84474.7,85677.99,84364.45,85077.01,9666.58153,2025-04-19 23:59:59.999000 UTC,823222752.2842493,875226,5416.30087,461342924,0
2025-04-20 00:00:00.000000 UTC,85077,85320.76,83949.52,85179.24,8091.67725,2025-04-20 23:59:59.999000 UTC,685253644.8918362,944130,3843.48314,325482835.7378329,0
2025-04-21 00:00:00.000000 UTC,85179.24,88465.99,85144.76,87516.23,31773.37262,2025-04-21 23:59:59.999000 UTC,2773299591.467066,3041395,17216.39877,1502705225.134135,0
2025-04-22 00:00:00.000000 UTC,87516.22,93888,87076.03,93442.99,43872.74705,2025-04-22 23:59:59.999000 UTC,3967785064.1281695,3268475,22777.77047,2062639579.2030847,0
2025-04-23 00:00:00.000000 UTC,93442.99,94696.05,91935.41,93691.08,27404.16808,2025-04-23 23:59:59.999000 UTC,2560279933.947952,3016536,13128.05774,1226992558.5765462,0
2025-04-24 00:00:00.000000 UTC,93691.07,94005,91660.01,93980.47,19497.06071,2025-04-24 23:59:59.999000 UTC,1811120137.314679,2797383,8565.18128,795787487.3608981,0
2025-04-25 00:00:00.000000 UTC,93980.47,95758.04,92855.96,94638.68,27500.66648,2025-04-25 23:59:59.999000 UTC,2596877713.640173,3331828,13072.22136,1234153095.7292683,0
2025-04-26 00:00:00.000000 UTC,94638.68,95199,93870.69,94628,9415.06875,2025-04-26 23:59:59.999000 UTC,889627361.8414446,1475983,4156.22463,392757114.4,0
2025-04-27 00:00:00.000000 UTC,94628,95369,93602.58,93749.3,11162.841,2025-04-27 23:59:59.999000 UTC,1052334792.1866188,1918160,5250.08719,495112239.1081697,0
2025-04-28 00:00:00.000000 UTC,93749.29,95630,92800.01,95011.18,22157.53351,2025-04-28 23:59:59.999000 UTC,2092532996.555172,3424740,11626.77592,1098667305.239998,0
2025-04-29 00:00:00.000000 UTC,95011.18,95461.53,93742.54,94256.82,16955.3402,2025-04-29 23:59:59.999000 UTC,1607154803.4675477,3020875,7112.68469,674688527.8,0
2025-04-30 00:00:00.000000 UTC,94256.82,95228.45,92910,94172,17661.2751,2025-04-30 23:59:59.999000 UTC,1664825670.9831252,3214149,8393.2162,791272380.0312446,0
2025-05-01 00:00:00.000000 UTC,94172,97424.02,94130.43,96489.91,21380.45343,2025-05-01 23:59:59.999000 UTC,2053857614.2732675,2925716,10925.87308,1049157198.8587636,0
2025-05-02 00:00:00.000000 UTC,96489.9,97895.68,96350,96887.14,14905.74811,2025-05-02 23:59:59.999000 UTC,1446387651.5840576,2698263,7440.33531,722022817.2246199,0
2025-05-03 00:00:00.000000 UTC,96887.13,96935.67,95753.01,95856.42,9723.34838,2025-05-03 23:59:59.999000 UTC,935906144.9651498,1181239,3929.4049,378271292.4443145,0
2025-05-04 00:00:00.000000 UTC,95856.42,96304.48,94151.38,94277.62,11036.38342,2025-05-04 23:59:59.999000 UTC,1053542403.8531588,1674726,4385.33486,418573470.8569623,0
2025-05-05 00:00:00.000000 UTC,94277.61,95199,93514.1,94733.68,17251.18189,2025-05-05 23:59:59.999000 UTC,1626999380.1759968,2623300,8399.64855,792299650.3395202,0
2025-05-06 00:00:00.000000 UTC,94733.68,96920.65,93377,96834.02,16122.64513,2025-05-06 23:59:59.999000 UTC,1526847764.5636685,2512960,7505.95734,711372483.6117135,0
2025-05-07 00:00:00.000000 UTC,96834.02,97732,95784.61,97030.5,16644.83854,2025-05-07 23:59:59.999000 UTC,1611730124.5924544,2849139,8316.74471,805430612.4055353,0
2025-05-08 00:00:00.000000 UTC,97030.5,104145.76,96876.29,103261.6,34962.02847,2025-05-08 23:59:59.999000 UTC,3508645830.5650144,4991147,18547.23009,1861334478.364427,0
2025-05-09 00:00:00.000000 UTC,103261.61,104361.3,102315.14,102971.99,27617.39907,2025-05-09 23:59:59.999000 UTC,2847518447.981513,4406929,14525.20381,1497826622.326188,0
2025-05-10 00:00:00.000000 UTC,102971.99,104984.57,102818.76,104809.53,15324.78611,2025-05-10 23:59:59.999000 UTC,1588386278.502415,2227845,8258.23478,856095289.5216646,0
2025-05-11 00:00:00.000000 UTC,104809.53,104972,103345.06,104118,17987.12197,2025-05-11 23:59:59.999000 UTC,1873381777.2124248,3100176,9071.95578,944903285.1,0
2025-05-12 00:00:00.000000 UTC,104118,105819.45,100718.37,102791.32,31272.77792,2025-05-12 23:59:59.999000 UTC,3242348937.383069,5298407,16455.99797,1707457796.5881395,0
2025-05-13 00:00:00.000000 UTC,102791.32,104976.25,101429.7,104103.72,21253.42409,2025-05-13 23:59:59.999000 UTC,2197244118.1523666,3703531,10705.97845,1106609664.707795,0
2025-05-14 00:00:00.000000 UTC,104103.72,104356.95,102602.05,103507.82,16452.9081,2025-05-14 23:59:59.999000 UTC,1704708279.3884108,3025221,8026.03333,831783471.7,0
2025-05-15 00:00:00.000000 UTC,103507.83,104192.7,101383.07,103763.71,17998.98604,2025-05-15 23:59:59.999000 UTC,1850183474.529204,4139477,8475.18036,871244345.6,0
2025-05-16 00:00:00.000000 UTC,103763.71,104550.33,103100.49,103463.9,15683.88024,2025-05-16 23:59:59.999000 UTC,1628832372.324148,3237442,7555.15801,784850382.1942747,0
2025-05-17 00:00:00.000000 UTC,103463.9,103709.86,102612.5,103126.65,11250.89622,2025-05-17 23:59:59.999000 UTC,1160418362.950618,2568597,5335.11525,550379728.7338501,0
2025-05-18 00:00:00.000000 UTC,103126.65,106660,103105.09,106454.26,21599.98726,2025-05-18 23:59:59.999000 UTC,2262214972.0749383,3193300,11664.89904,1221914552.0552013,0
2025-05-19 00:00:00.000000 UTC,106454.27,107108.62,102000,105573.74,30260.03524,2025-05-19 23:59:59.999000 UTC,3150324504.595452,4881371,14208.309,1480452895.0841565,0
2025-05-20 00:00:00.000000 UTC,105573.73,107320,104184.72,106849.99,23705.48275,2025-05-20 23:59:59.999000 UTC,2509102444.6695986,3878351,12350.46275,1307273652.3895233,0
2025-05-21 00:00:00.000000 UTC,106850,110797.38,106100.01,109643.99,45531.04035,2025-05-21 23:59:59.999000 UTC,4914709514.320026,6835279,23661.6494,2555528481.098726,0
2025-05-22 00:00:00.000000 UTC,109643.99,111980,109177.37,111696.21,31630.77313,2025-05-22 23:59:59.999000 UTC,3509432834.573417,5794216,16584.56293,1840083098.5827856,0
2025-05-23 00:00:00.000000 UTC,111696.22,111800,106800,107318.3,31737.72309,2025-05-23 23:59:59.999000 UTC,3469704446.3904047,5251192,14309.31652,1565622441.187517,0
2025-05-24 00:00:00.000000 UTC,107318.3,109506.03,106875.41,107761.91,16782.53129,2025-05-24 23:59:59.999000 UTC,1819958819.7748585,2805418,8786.90747,953683093.3,0
2025-05-25 00:00:00.000000 UTC,107761.9,109299.99,106600.64,109004.19,17710.04695,2025-05-25 23:59:59.999000 UTC,1904366455.425858,3151168,7867.16712,846688135.0097136,0
2025-05-26 00:00:00.000000 UTC,109004.2,110422.22,108670.58,109434.79,14649.11593,2025-05-26 23:59:59.999000 UTC,1605578282.1079032,2887863,7301.11288,800269021.1922797,0
2025-05-27 00:00:00.000000 UTC,109434.78,110718,107516.57,108938.17,21276.65635,2025-05-27 23:59:59.999000 UTC,2327603851.1192646,3735509,9969.89271,1090553624.461599,0
2025-05-28 00:00:00.000000 UTC,108938.17,109284.7,106769.43,107781.78,15633.78829,2025-05-28 23:59:59.999000 UTC,1689136748.5130312,2933262,6877.27341,743282966.7207197,0
